,user,location,text,time_creation,id
0,DreamSailor2,,"@MISSXBUTTERFLYX @mhdksafa Agreed we should not forget those too, many of whom died as a consequence of the covid p… https://t.co/pD0oTDdBHB",2020-08-30 11:08:41,1300027657275478017
1,iotosphere,"London, England",June 2020 Global Consumer IoT Market Report 2020 COVID 19 Impact Analysis Updated Edition … https://t.co/gfxIHWyH4T,2020-08-30 11:08:41,1300027656658976768
2,Jennijeremies,Belfast,"@scotgov Coronavirus? Not Covid-19? 
You want people to wear a face covering because they potentially have the comm… https://t.co/wYSR7vcjAv",2020-08-30 11:08:40,1300027653899137025
3,89kmn98,"Florida, USA",@gator_gum @phillygirl444 @jonimarielew @Lrihendry @KamVTV Hospitals get more funding for COVID cases and deaths...… https://t.co/dqahcGIDvn,2020-08-30 11:08:39,1300027648534548480
4,viviannereim,الرياض,"""Despite the impact of Covid-19 on the hospitality industry, global hotel chains remain keen on their involvement i… https://t.co/gycjF6oov4",2020-08-30 11:08:38,1300027646760361984
5,lover_cal,𝔰𝔥𝔢/𝔥𝔢𝔯,@louiscigxrettes something you can learn @Louis_Tomlinson @Harry_Styles @NiallOfficial cough in covid,2020-08-30 11:08:38,1300027644914868224
6,mcdee_andy,,@TheGloryYears9 @Rhys68679545 @peterjukes I keep finding accounts I follow RTing this pandemic denial anti-science… https://t.co/Dz04czygGN,2020-08-30 11:08:38,1300027643094597633
7,RyeGSL,Rye NY,"Remembering Glenn Bellitto of Eastchester, lost to COVID nearly 6 months ago.. but not forgotten https://t.co/JySLGfjhEf",2020-08-30 11:08:37,1300027642138234880
8,willawilder35,"Massachusetts, USA","@JackPosobiec And 25% of the worlds covid deaths, 180,000 people jack",2020-08-30 11:08:37,1300027642041729024
9,PPaulCharles,London,@BeckyJ__ @ThePCAgency @AudienceNet @transportgovuk @FCOtravel @SimonCalder @TelegraphTravel @timestravel @BBCNews… https://t.co/75psF4u9ZJ,2020-08-30 11:08:36,1300027638115950592
10,batholiver,Cornwall,"Coronavirus latest news: Reopening universities could spark second wave, academics warn https://t.co/ui5eQXOO1r via @Telegraph",2020-08-30 11:08:36,1300027635494465536
11,oldmanadmire,Maldives,"#monemaker88882020Covid-19: 17 new positive cases, 1 death in Malaysia today https://t.co/Vs1ipyS9rj",2020-08-30 11:08:35,1300027633233727490
12,ZupancicJareen,"Pennsylvania, USA",@paulcshipley @VanAllenPlexico @moomoo70 @littllemel Covid RELATED.,2020-08-30 11:08:35,1300027632856297472
13,tedejr,Georgia,"In the, how in the hell did I miss this department, Stein Mart is closing due to Covid.  297 stores.  If there are… https://t.co/qogvdztPBL",2020-08-30 11:08:35,1300027631056957441
14,ianujbabu,"प्रयागराज, भारत",@narendramodi With Hike in covid-19 Cases upto 78k+ per day. It would be biggest mistake to conduct Exams in covid.… https://t.co/BgYHcDzmUy,2020-08-30 11:08:35,1300027630901633024
15,Shivani_678,"नई दिल्ली, भारत","@11Petitioners @anubha1812 @DrRPNishank Please please read these articles
This will show you the real truth behind… https://t.co/XtXCdhDSOv",2020-08-30 11:08:35,1300027630335348737
